fold,model,balanced_accuracy
0,CatBoost,0.9495639075458424
0,XGBoost,0.9476582992153966
0,LightGBM,0.9488709993541985
1,CatBoost,0.951198412065804
1,XGBoost,0.9481315525792601
1,LightGBM,0.9490987119554379
2,CatBoost,0.9489662760380108
2,XGBoost,0.9462931225958968
2,LightGBM,0.9471615200240264
3,CatBoost,0.9490146325168242
3,XGBoost,0.9460273882648385
3,LightGBM,0.9475310118732624
4,CatBoost,0.9477154784499563
4,XGBoost,0.9441760964071887
4,LightGBM,0.9450676539855919
