model,oof_balanced_accuracy,oof_accuracy,oof_errors,recall_unhealthy,recall_at-risk,recall_fit
CatBoost,0.9492917998953277,0.9384353879505223,42485,0.9632388607858083,0.9352859874342051,0.9493505514659699
XGBoost,0.9464573701141129,0.947415402093646,36288,0.9500207885801399,0.9475378906137933,0.9418134311484059
LightGBM,0.9475460541149373,0.9461996151215497,37127,0.9536241424710692,0.945668040927432,0.9433459789463106
Blend,0.9494387728642187,0.9403510856586407,41163,0.9616450696417435,0.937697553500821,0.9489736954500917
