model,slice,rows,balanced_accuracy,error_rate
experiment_007_hgbc,sleep_missing,75999,0.8619390010627903,0.23418729193805182
experiment_007_hgbc,sleep_present,614089,0.9611134991041167,0.03796029565746985
realmlp,sleep_missing,75999,0.8632859670795003,0.24395057829708286
realmlp,sleep_present,614089,0.9613080588556423,0.038393457625849024
hgbc_realmlp_crossfit_blend,sleep_missing,75999,0.8635822254551151,0.23945051908577744
hgbc_realmlp_crossfit_blend,sleep_present,614089,0.961406606846658,0.03798146522735304
