fold,epoch,loss,eval_balanced_accuracy,best_score_so_far
0,0,0.5631328024888502,,-1.0
0,1,0.49287199098496,0.9503964302440885,0.9503964302440885
0,2,0.3951908289778553,0.9507215017572963,0.9507215017572963
0,3,0.27878614769863574,0.9510718238075989,0.9510718238075989
0,4,0.18572700007078932,0.9511321842968629,0.9511321842968629
1,0,0.5640029092150999,,-1.0
1,1,0.4931750967339082,0.9518985100762185,0.9518985100762185
1,2,0.395901330706143,0.9522004821360937,0.9522004821360937
1,3,0.27942812692743413,0.952432182386853,0.952432182386853
1,4,0.18632470899234777,0.952255017837112,0.952432182386853
2,0,0.5629462086845041,,-1.0
2,1,0.491885611036511,0.9488771979415263,0.9488771979415263
2,2,0.39441170052481095,0.9492252211430016,0.9492252211430016
2,3,0.2774906623021003,0.9500901112376087,0.9500901112376087
2,4,0.18452397613087884,0.9495733379469226,0.9500901112376087
3,0,0.5621973579685593,,-1.0
3,1,0.4919836576113113,0.9494969600042128,0.9494969600042128
3,2,0.3947147382587277,0.9498095681190536,0.9498095681190536
3,3,0.2778940830548899,0.9500650667968599,0.9500650667968599
3,4,0.18488291650320005,0.9499172304998874,0.9500650667968599
4,0,0.5622289177993584,,-1.0
4,1,0.4916396646780256,0.9483979285805736,0.9483979285805736
4,2,0.3940213190476247,0.9487341999133477,0.9487341999133477
4,3,0.27741982516477903,0.9488544848703894,0.9488544848703894
4,4,0.18351433039457296,0.9486313235593323,0.9488544848703894
