fold,realmlp_weight_learned_on_other_folds,meta_train_balanced_accuracy,eval_balanced_accuracy
0,0.54,0.9504835811921293,0.9513870498049551
1,0.54,0.950194491941826,0.952543344378099
2,0.54,0.9508294164176417,0.9500037656808117
3,0.56,0.9508138718865133,0.9500719840355817
4,0.56,0.9510385462585559,0.9491731920600007
