fold,hgbc_weight_learned_on_other_folds,meta_train_balanced_accuracy,base_eval_balanced_accuracy,hgbc_eval_balanced_accuracy,blend_eval_balanced_accuracy
0,0.84,0.9501611211742583,0.9499071756802628,0.9507141590550025,0.9506068512294125
1,0.93,0.949825069668505,0.9514604322477282,0.9518097832977442,0.9519305163294381
2,0.93,0.9503801799578498,0.9490996365811907,0.9495147600517861,0.9497101774224049
3,0.59,0.9503172195322218,0.9490529164719502,0.9498809957620754,0.949746078006712
4,0.52,0.9505885532758817,0.947673388817762,0.9490605243106601,0.9487618386905329
