fold,right_weight,meta_balanced_accuracy,heldout_balanced_accuracy
0,0.04,0.950472223009425,0.9513022432169332
1,0.17,0.9501769334683076,0.9524144290608358
2,0.05,0.9508022153340457,0.9500075799948563
3,0.0,0.9507768906166986,0.9500719840355817
4,0.06,0.9510268004025075,0.9491006301281911
