fold,balanced_accuracy,n_iter,runtime_seconds
0,0.9505402014109916,76,15.27119493484497
1,0.9521218214070511,70,14.481091976165771
2,0.9497198962279181,88,16.791908025741577
3,0.9495515438616898,94,17.7314510345459
4,0.948583508832959,87,16.6092689037323
