candidate,missing_pattern,rows,balanced_accuracy,error_rate
experiment_010_trusted_blend,000,511675,0.9721396397041526,0.010037621537108516
experiment_010_trusted_blend,001,28616,0.9597084632245755,0.0451845121610288
experiment_010_trusted_blend,010,69792,0.890200462641317,0.224137436955525
experiment_010_trusted_blend,011,4006,0.8449535111050489,0.31253120319520716
experiment_010_trusted_blend,100,63486,0.8920039064973299,0.2035566896638629
experiment_010_trusted_blend,101,3500,0.8571489172244798,0.28714285714285714
experiment_010_trusted_blend,110,8514,0.6753181774523748,0.4705191449377496
experiment_010_trusted_blend,111,499,0.5538620448179271,0.5290581162324649
exact_rule_hgbc,000,511675,0.9719552837271778,0.010106024331851272
exact_rule_hgbc,001,28616,0.9586356004249774,0.045499021526418784
exact_rule_hgbc,010,69792,0.8890750076177816,0.2192801467216873
exact_rule_hgbc,011,4006,0.8362393944445707,0.318771842236645
exact_rule_hgbc,100,63486,0.8911358889688014,0.20298963551019122
exact_rule_hgbc,101,3500,0.8589668747506881,0.2897142857142857
exact_rule_hgbc,110,8514,0.6688853360757939,0.4759220108057317
exact_rule_hgbc,111,499,0.5094607843137254,0.5250501002004008
exact_rule_hgbc_realmlp_crossfit,000,511675,0.9721050926968857,0.010090389407338642
exact_rule_hgbc_realmlp_crossfit,001,28616,0.959689544522966,0.04490494828068214
exact_rule_hgbc_realmlp_crossfit,010,69792,0.8901760425168307,0.22266162310866575
exact_rule_hgbc_realmlp_crossfit,011,4006,0.8403542047127944,0.3162755866200699
exact_rule_hgbc_realmlp_crossfit,100,63486,0.8919026878269193,0.2046277919541316
exact_rule_hgbc_realmlp_crossfit,101,3500,0.8539345426748383,0.286
exact_rule_hgbc_realmlp_crossfit,110,8514,0.67796293043342,0.4881371858116044
exact_rule_hgbc_realmlp_crossfit,111,499,0.5382691409897292,0.5871743486973948
