heldout_fold,pass,class,multiplier,train_score
0,0,unhealthy,1.0949999999999926,0.9494275896289975
0,0,fit,0.9724999999999953,0.9494459509246505
0,1,unhealthy,1.0949999999999926,0.9494459509246505
0,1,fit,0.9724999999999953,0.9494459509246505
1,0,unhealthy,1.0949999999999926,0.9491135292656838
1,0,fit,0.9899999999999949,0.9491222329570154
1,1,unhealthy,1.0949999999999926,0.9491222329570154
1,1,fit,0.9899999999999949,0.9491222329570154
2,0,unhealthy,1.0924999999999927,0.9496395803540144
2,0,fit,0.9899999999999949,0.949654533426367
2,1,unhealthy,1.0924999999999927,0.949654533426367
2,1,fit,0.9899999999999949,0.949654533426367
3,0,unhealthy,1.0949999999999926,0.9496415835378453
3,0,fit,0.9899999999999949,0.9496474749091629
3,1,unhealthy,1.0949999999999926,0.9496474749091629
3,1,fit,0.9899999999999949,0.9496474749091629
4,0,unhealthy,1.0899999999999928,0.9499088460169562
4,0,fit,0.9974999999999947,0.9499123618353261
4,1,unhealthy,1.0899999999999928,0.9499123618353261
4,1,fit,0.9974999999999947,0.9499123618353261
