fold,config,rows,balanced_accuracy,accuracy,recall_unhealthy,recall_at-risk,recall_fit
0,preimputed,138018,0.934884058410355,0.9359648741468504,0.9392810740580337,0.9360908599972999,0.9292802411757317
0,native_nan,138018,0.9476582992153966,0.9477024735904013,0.9495885664789953,0.9476508707978939,0.9457354603693003
1,preimputed,138018,0.9376021037147177,0.9371603703864714,0.94586401039411,0.9367827730525179,0.9301595276975254
1,native_nan,138018,0.9481315525792601,0.9474778652059876,0.9521004763967086,0.9471867827730526,0.9451073985680191
2,preimputed,138018,0.9365684073312348,0.9352693126983437,0.9452576873105241,0.9346648440664237,0.9297826906167567
2,native_nan,138018,0.9462931225958968,0.9463982958744511,0.9511476829796449,0.9462670446874578,0.9414646401205878
3,preimputed,138017,0.9346871152212706,0.9369063231341067,0.9406669553919446,0.9372637370055353,0.9261306532663317
3,native_nan,138017,0.9460273882648385,0.9482020330828811,0.9508012126461671,0.9485874848116647,0.9386934673366835
4,preimputed,138017,0.9338339374584503,0.9359209372758428,0.9391025641025641,0.936268595006455,0.9261306532663317
4,native_nan,138017,0.9441760964071887,0.9472963475513886,0.9464656964656964,0.9479972661227039,0.9380653266331658
