candidate,oof_balanced_accuracy,accuracy,errors,recall_unhealthy,recall_at-risk,recall_fit
experiment_010_trusted_blend,0.9506359211775083,0.939830862150914,41522,0.9648153281130899,0.9366866871090065,0.9504057483104289
hgbc_plus_equal_seed_bag_crossfit,0.9506084976779788,0.9395990076627908,41682,0.9651791282655394,0.9363913588643195,0.9502550059040776
realmlp_equal_seed_bag,0.950600914547254,0.9389150369228272,42154,0.9657508142193888,0.935520562439985,0.9505313669823883
hgbc_plus_crossfit_seed_bag_crossfit,0.9505928040933153,0.9394512004266122,41784,0.965265747349456,0.9362074115576287,0.9503052533728613
realmlp_crossfit_seed_weight,0.9505664102055152,0.9390208205330335,42081,0.9655256046012057,0.9356673827673437,0.9505062432479964
realmlp_seed_2027,0.9505342677747857,0.938897647836218,42166,0.9657334904026055,0.9355138120801065,0.9503555008416451
realmlp_seed_2026,0.9505148624111879,0.9389686532732058,42117,0.965317718799806,0.9356201302481939,0.9506067381855638
