blend,fold,right_weight,meta_balanced_accuracy,heldout_balanced_accuracy
crossfit_seed_weight,0,0.58,0.9505067405172705,0.9511574372827886
crossfit_seed_weight,1,0.59,0.9501862597191856,0.9524484836028222
crossfit_seed_weight,2,0.67,0.9507871745925144,0.9498970959225977
crossfit_seed_weight,3,0.29,0.9507093380347914,0.9503161678093411
crossfit_seed_weight,4,0.28,0.951028690173053,0.9490126097520344
hgbc_plus_equal_seed_bag,0,0.8,0.9505284300963531,0.9512832607632794
hgbc_plus_equal_seed_bag,1,0.58,0.9502187821962452,0.9525617756231037
hgbc_plus_equal_seed_bag,2,0.58,0.9508676196861942,0.9499665583957145
hgbc_plus_equal_seed_bag,3,0.6900000000000001,0.9507896734449801,0.9502075052668587
hgbc_plus_equal_seed_bag,4,0.6900000000000001,0.9510857438137766,0.949023120844025
hgbc_plus_crossfit_seed_bag,0,0.85,0.9505336820611823,0.9512326329787512
hgbc_plus_crossfit_seed_bag,1,0.85,0.9502094197071006,0.9525296236418647
hgbc_plus_crossfit_seed_bag,2,0.5700000000000001,0.9508306384163796,0.949963318793877
hgbc_plus_crossfit_seed_bag,3,0.7000000000000001,0.9507949097580672,0.9501462015757532
hgbc_plus_crossfit_seed_bag,4,0.85,0.9510688160917269,0.9490919902540935
