fold,rows,best_epoch,balanced_accuracy,class_weights
0,138018,4,0.9510353437064466,"[3.985000397005854, 0.34937527555168346, 6.357190712476185]"
1,138018,4,0.9523175016116928,"[3.985000397005854, 0.34937527555168346, 6.357190712476185]"
2,138018,5,0.9498966454718983,"[3.985000397005854, 0.34937527555168346, 6.357190712476185]"
3,138017,4,0.9504090141780162,"[3.985007615294109, 0.3493759083976551, 6.357002585602279]"
4,138017,4,0.9490125993042197,"[3.9849213223617728, 0.3493766454029972, 6.357002585602279]"
