fold,epoch,loss,eval_balanced_accuracy,best_score_so_far
0,0,0.5633679675050529,,-1.0
0,1,0.49279781018726465,0.9504779526719883,0.9504779526719883
0,2,0.3948455191354601,0.9505700453508535,0.9505700453508535
0,3,0.27855392368001114,0.9510353437064466,0.9510353437064466
0,4,0.1860629146827162,0.9510117069436875,0.9510353437064466
1,0,0.5639246236515664,,-1.0
1,1,0.49320200602139885,0.9520253750676692,0.9520253750676692
1,2,0.39555220970188276,0.9522987139302196,0.9522987139302196
1,3,0.27924693578144705,0.9523175016116928,0.9523175016116928
1,4,0.18687755766430864,0.9520865142338703,0.9523175016116928
2,0,0.5628303259307307,,-1.0
2,1,0.49189887406430494,0.9492005688216713,0.9492005688216713
2,2,0.394126788706996,0.9495305877252834,0.9495305877252834
2,3,0.2773125107167936,0.9497738974801265,0.9497738974801265
2,4,0.1842566816424528,0.9498966454718983,0.9498966454718983
3,0,0.562443079000496,,-1.0
3,1,0.49177924627170616,0.9496236478992849,0.9496236478992849
3,2,0.3942284023214867,0.9500729266698165,0.9500729266698165
3,3,0.2780174281002748,0.9504090141780162,0.9504090141780162
3,4,0.1846771116011998,0.9501658326312117,0.9504090141780162
4,0,0.5621012551735903,,-1.0
4,1,0.4916163596486029,0.9483068622529639,0.9483068622529639
4,2,0.39401672392448306,0.9487381965652526,0.9487381965652526
4,3,0.2774955577685725,0.9490125993042197,0.9490125993042197
4,4,0.1839392047869154,0.9488615042614144,0.9490125993042197
