model,oof_balanced_accuracy,oof_accuracy,oof_errors,recall_unhealthy,recall_at-risk,recall_fit
experiment_007_weighted_hgbc,0.9501960945293879,0.9404293365483822,41109,0.9634640704039914,0.9375726718430676,0.949551541341105
unweighted_raw,0.8894809541295133,0.9685127114223113,21729,0.8350772642228536,0.9899115871614905,0.8434540110041957
unweighted_beta1,0.9502429528860997,0.9401206802610682,41322,0.963550689487908,0.9371744006102325,0.9500037685601588
unweighted_crossfit_beta,0.9501077046405805,0.9404568692688469,41090,0.9629270320837087,0.9376435506217925,0.94975253121624
