fold,rows,raw_balanced_accuracy,beta1_balanced_accuracy,n_iter
0,138018,0.8882104512286784,0.9507572473280104,92
1,138018,0.8896372650451619,0.9523937786702268,102
2,138018,0.8910399145847846,0.9496265883206391,87
3,138017,0.8885342509652704,0.9497692723902388,107
4,138017,0.8899827678352378,0.9486675743443072,103
